product_id,listing_price,sale_price,discount,revenue
EE8501,49.99,29.99,0.40,4156.61
CL7602,47.99,23.99,0.50,734.09
CL7494,45.99,22.99,0.50,1158.70
EE7923,59.99,35.99,0.40,5700.82
EE5566,79.99,47.99,0.40,1986.79
CI1821,47.99,23.99,0.50,345.46
CJ0082,45.99,22.99,0.50,2648.45
CJ8062,59.99,29.99,0.50,2807.06
EE6038,75.99,45.59,0.40,5744.34
CM0068,12.99,7.79,0.40,827.30
CK9830,27.99,13.99,0.50,352.55
CJ0080,45.99,22.99,0.50,82.76
EG4957,79.99,79.99,0.00,5471.32
BD7438,79.99,39.99,0.50,6118.47
B75579,49.99,24.99,0.50,269.89
CM0057,12.99,7.79,0.40,645.01
CL0206,14.99,7.49,0.50,121.34
CJ8058,59.99,29.99,0.50,4696.43
BZ0086,79.99,39.99,0.50,2015.50
CJ8117,45.99,22.99,0.50,3600.23
CJ8073,55.99,27.99,0.50,3325.21
CL7551,47.99,23.99,0.50,2331.83
AC8122,79.99,39.99,0.50,4750.81
CM8453,199.99,99.99,0.50,179.98
EE3625,159.99,79.99,0.50,13534.31
CM0031,45.99,22.99,0.50,2027.72
EE7697,49.99,24.99,0.50,269.89
F36159,52.99,26.49,0.50,4720.52
F35028,19.99,9.99,0.50,1204.79
AC7042,99.99,49.99,0.50,4409.12
CJ8053,59.99,29.99,0.50,2267.24
BC0836,89.99,44.99,0.50,7288.38
F35275,65.99,32.99,0.50,5225.62
CJ8115,45.99,22.99,0.50,1820.81
CJ8089,49.99,24.99,0.50,3328.67
EE6128,59.99,35.99,0.40,1230.86
CJ8118,45.99,22.99,0.50,2234.63
CL7328,47.99,23.99,0.50,3411.38
CL7470,55.99,27.99,0.50,251.91
CL7541,49.99,24.99,0.50,4318.27
CL9928,35.99,21.59,0.40,1593.34
CM0045,15.99,9.59,0.40,138.10
CL7599,47.99,23.99,0.50,3454.56
CM0069,12.99,7.79,0.40,308.48
CL7511,,,,
CL7552,47.99,23.99,0.50,2936.38
EE9816,65.99,32.99,0.50,178.15
CL7545,55.99,27.99,0.50,2317.57
EE5060,89.99,53.99,0.40,4859.10
F36718,55.99,33.59,0.40,4534.65
CL9927,35.99,21.59,0.40,2759.20
CL7285,42.99,21.49,0.50,1856.74
CL7471,55.99,27.99,0.50,1813.75
B96360,79.99,39.99,0.50,503.87
EE5778,89.99,53.99,0.40,6705.56
EE4519,79.99,47.99,0.40,6133.12
EE4504,79.99,47.99,0.40,5614.83
EE4697,65.99,39.59,0.40,213.79
CM0044,15.99,9.59,0.40,1277.39
EE6045,79.99,47.99,0.40,172.76
CG6091,99.99,49.99,0.50,7558.49
G27834,139.99,69.99,0.50,4283.39
CL7598,47.99,23.99,0.50,2331.83
EE4709,75.99,45.59,0.40,4021.04
EE4948,119.99,71.99,0.40,4535.37
EE9671,69.99,41.99,0.40,3627.94
EE7046,79.99,47.99,0.40,2159.55
EF0451,49.99,34.99,0.30,3212.08
EE4561,75.99,45.59,0.40,984.74
CL7601,47.99,23.99,0.50,2202.28
CL7330,47.99,23.99,0.50,1338.64
CM6625,24.99,17.49,0.30,1290.76
FV3395,75.99,53.19,0.30,478.71
EF9317,65.99,39.59,0.40,5558.44
EF4954,79.99,55.99,0.30,9675.07
EE7104,75.99,45.59,0.40,2133.61
FV4070,79.99,55.99,0.30,5341.45
FV3918,89.99,62.99,0.30,8843.80
EE5055,49.99,29.99,0.40,4858.38
CM6626,24.99,17.49,0.30,3022.27
CQ2030,159.99,79.99,0.50,11806.52
EE5292,75.99,45.59,0.40,5662.28
BD8041,75.99,37.99,0.50,1436.02
B37719,75.99,45.59,0.40,7221.46
EE4505,79.99,47.99,0.40,2764.22
CM0072,9.99,4.99,0.50,179.64
EF0795,65.99,39.59,0.40,3135.53
EE5875,65.99,39.59,0.40,4917.08
EE4947,119.99,71.99,0.40,8552.41
CM6627,24.99,17.49,0.30,2046.33
CQ2039,169.99,84.99,0.50,8566.99
CG6193,75.99,53.19,0.30,1436.13
S82260,119.99,48.00,0.60,4406.40
EE4945,119.99,71.99,0.40,10884.89
EE7155,79.99,47.99,0.40,4923.77
B44846,59.99,29.99,0.50,2321.23
EE6044,79.99,47.99,0.40,7169.71
EH0192,,,,
EE7045,79.99,47.99,0.40,5355.68
CL7646,26.99,21.59,0.20,1904.24
CL7346,29.99,23.99,0.20,1597.73
EE5777,89.99,53.99,0.40,3692.92
AQ1210,99.99,49.99,0.50,7918.42
EF5925,79.99,55.99,0.30,9876.64
EE7032,119.99,71.99,0.40,12051.13
EE7708,79.99,47.99,0.40,1554.88
AQ1119,129.99,64.99,0.50,2690.59
F34311,79.99,39.99,0.50,4246.94
CL7645,26.99,21.59,0.20,3497.58
EE5089,89.99,53.99,0.40,3595.73
CL7565,49.99,24.99,0.50,2114.15
G27727,79.99,39.99,0.50,3311.17
B44697,79.99,39.99,0.50,6118.47
CL7400,55.99,27.99,0.50,3425.98
CL7437,52.99,26.49,0.50,3528.47
CL7563,49.99,24.99,0.50,44.98
CL7460,59.99,29.99,0.50,2591.14
CL7507,49.99,24.99,0.50,0.00
CM0061,12.99,7.79,0.40,196.31
F34308,79.99,39.99,0.50,4966.76
CL7506,49.99,24.99,0.50,3733.51
CL7344,29.99,23.99,0.20,3713.65
EE5318,109.99,65.99,0.40,10690.38
CL7564,49.99,24.99,0.50,2608.96
CL7439,52.99,26.49,0.50,3480.79
CL7345,29.99,23.99,0.20,475.00
CL7644,26.99,21.59,0.20,1243.58
CL7438,52.99,26.49,0.50,3719.20
CK9843,27.99,16.79,0.40,1420.43
EE8738,89.99,53.99,0.40,7871.74
CL7576,55.99,27.99,0.50,755.73
CL7482,45.99,22.99,0.50,4055.44
EE6129,59.99,35.99,0.40,64.78
EG3290,39.99,39.99,0.00,3671.08
CL7467,55.99,27.99,0.50,2871.77
EF1426,99.99,49.99,0.50,4499.10
CL7264,49.99,29.99,0.40,4318.56
CL7472,55.99,27.99,0.50,3778.65
CL7560,45.99,22.99,0.50,3724.38
EE4574,75.99,45.59,0.40,5580.22
CL7445,42.99,21.49,0.50,580.23
CL7404,39.99,19.99,0.50,2302.85
CL7515,52.99,26.49,0.50,3766.88
EE4763,79.99,47.99,0.40,6046.74
CL7616,39.99,23.99,0.40,2936.38
CL7591,42.99,21.49,0.50,889.69
CK9831,27.99,13.99,0.50,1762.74
EF2508,65.99,39.59,0.40,2993.00
CL7495,45.99,22.99,0.50,3186.41
EE5592,109.99,65.99,0.40,6176.66
EE5398,,,,
EE5304,129.99,77.99,0.40,4071.08
EE7242,79.99,47.99,0.40,8033.53
CM0064,14.99,7.49,0.50,323.57
EE7885,65.99,39.59,0.40,71.26
CM0049,14.99,8.99,0.40,1343.11
CL7548,47.99,23.99,0.50,2936.38
CK1088,55.99,27.99,0.50,3677.89
CL7263,49.99,24.99,0.50,2249.10
CL7483,45.99,22.99,0.50,2524.30
F34340,65.99,32.99,0.50,2078.37
CL7590,42.99,21.49,0.50,3790.84
CM0030,45.99,22.99,0.50,2027.72
CL7468,55.99,27.99,0.50,2519.10
EE8076,55.99,33.59,0.40,3144.02
CM5955,29.99,29.99,0.00,4912.36
B44870,29.99,29.99,0.00,2753.08
CL7265,49.99,24.99,0.50,3643.54
CL7484,45.99,22.99,0.50,1986.34
CL7537,59.99,35.99,0.40,6348.64
EE8088,45.99,27.59,0.40,446.96
CL7577,55.99,27.99,0.50,1763.37
CM0058,12.99,7.79,0.40,1093.72
EE7698,49.99,29.99,0.40,4858.38
CM0009,59.99,29.99,0.50,809.73
EE7884,69.99,41.99,0.40,151.16
F36922,79.99,39.99,0.50,5614.60
DB3114,75.99,37.99,0.50,3213.95
F36217,49.99,24.99,0.50,1079.57
EE8272,49.99,29.99,0.40,1889.37
CL7538,49.99,24.99,0.50,3283.69
EF0695,79.99,47.99,0.40,3714.43
DB3599,99.99,49.99,0.50,3149.37
CL7321,35.99,21.59,0.40,2059.69
DB2117,79.99,39.99,0.50,5974.51
EE4698,65.99,39.59,0.40,3206.79
B28166,79.99,39.99,0.50,4750.81
DB3259,75.99,37.99,0.50,5128.65
EE5534,79.99,47.99,0.40,8119.91
EF0811,79.99,39.99,0.50,431.89
CK9723,37.99,18.99,0.50,2221.83
CL7322,35.99,21.59,0.40,1399.03
CG6021,119.99,59.99,0.50,2699.55
CG6188,139.99,69.99,0.50,1007.86
BD7685,79.99,39.99,0.50,5398.65
BD7475,75.99,37.99,0.50,6427.91
EF9226,75.99,45.59,0.40,4677.53
F34668,65.99,32.99,0.50,4572.41
EE8257,37.99,22.79,0.40,1066.57
B37973,119.99,59.99,0.50,3995.33
EE7068,75.99,45.59,0.40,1969.49
EH1363,59.99,59.99,0.00,647.89
EE5772,89.99,53.99,0.40,8163.29
CG6104,,,,
EF2437,179.99,89.99,0.50,4049.55
CM0070,12.99,7.79,0.40,1388.18
D96760,119.99,59.99,0.50,971.84
CM0077,12.99,7.79,0.40,490.77
CM0091,14.99,7.49,0.50,337.05
CL7550,47.99,23.99,0.50,561.37
F36675,39.99,23.99,0.40,1943.19
EF1065,65.99,39.59,0.40,2422.91
EH1361,59.99,59.99,0.00,1403.77
CL0243,12.99,6.49,0.50,700.92
CG6177,139.99,69.99,0.50,11464.36
FV3288,79.99,79.99,0.00,4751.41
EE4949,119.99,71.99,0.40,5053.70
BB2344,99.99,40.00,0.60,2448.00
EE6080,59.99,29.99,0.50,3616.79
EE6047,79.99,47.99,0.40,7169.71
EF0078,75.99,45.59,0.40,4021.04
EE5565,79.99,47.99,0.40,5528.45
EF4965,79.99,79.99,0.00,2591.68
EE4946,119.99,71.99,0.40,9589.07
B37090,99.99,49.99,0.50,7288.54
F36516,42.99,25.79,0.40,1392.66
DB3112,59.99,29.99,0.50,3454.85
EH1366,59.99,59.99,0.00,7774.70
CG6164,79.99,39.99,0.50,6262.43
EE4959,119.99,71.99,0.40,5572.03
EF2438,179.99,107.99,0.40,2915.73
F35567,69.99,34.99,0.50,5101.54
EE8165,55.99,33.59,0.40,3264.95
EE5846,65.99,39.59,0.40,1068.93
F34846,55.99,27.99,0.50,856.49
B41663,79.99,39.99,0.50,2159.46
CK9690,42.99,21.49,0.50,2823.79
EE7927,65.99,32.99,0.50,1603.31
CK9688,49.99,24.99,0.50,1934.23
CK9424,52.99,26.49,0.50,2336.42
CK9430,55.99,27.99,0.50,4030.56
CG6228,119.99,59.99,0.50,7018.83
DB3600,99.99,49.99,0.50,7828.43
EE9892,89.99,44.99,0.50,3482.23
CL7461,45.99,22.99,0.50,2400.16
CK9678,49.99,24.99,0.50,0.00
CK9696,45.99,22.99,0.50,3889.91
CK9695,45.99,22.99,0.50,2151.86
CK9683,49.99,24.99,0.50,1754.30
CK9692,49.99,24.99,0.50,944.62
EE7919,59.99,29.99,0.50,4696.43
CL7517,52.99,26.49,0.50,2002.64
CK9698,45.99,22.99,0.50,331.06
CK9418,55.99,27.99,0.50,3728.27
EF0322,129.99,77.99,0.40,3228.79
CK9427,52.99,26.49,0.50,2813.24
EF0437,,,,
EF0435,55.99,27.99,0.50,4987.82
CJ8090,49.99,24.99,0.50,1259.50
CL7542,49.99,24.99,0.50,4363.25
CL7311,35.99,17.99,0.50,712.40
EE8028,59.99,29.99,0.50,809.73
CL7398,55.99,27.99,0.50,1410.70
CL7306,39.99,19.99,0.50,2518.74
CK9697,45.99,22.99,0.50,1779.43
CI9915,49.99,24.99,0.50,2923.83
CK9590,52.99,26.49,0.50,2431.78
CL7458,59.99,29.99,0.50,4804.40
CI9913,49.99,24.99,0.50,4318.27
CL7459,59.99,29.99,0.50,3994.67
CI9991,49.99,24.99,0.50,2608.96
F36996,55.99,27.99,0.50,100.76
CJ7974,52.99,26.49,0.50,2527.15
CL7588,42.99,21.49,0.50,309.46
CL7407,39.99,19.99,0.50,3274.36
CL7406,39.99,19.99,0.50,3058.47
CK9420,55.99,27.99,0.50,100.76
CL7389,55.99,27.99,0.50,2015.28
CL7516,52.99,26.49,0.50,1335.10
CI9989,49.99,24.99,0.50,809.68
CL7405,39.99,19.99,0.50,1763.12
CL7473,55.99,27.99,0.50,151.15
CJ8110,45.99,22.99,0.50,289.67
CJ8019,45.99,22.99,0.50,2193.25
CK9604,45.99,22.99,0.50,1075.93
CK9431,55.99,27.99,0.50,2468.72
EE7289,59.99,35.99,0.40,3757.36
B75580,49.99,24.99,0.50,3553.58
CK9432,55.99,27.99,0.50,856.49
EE4925,119.99,71.99,0.40,12051.13
EE4953,119.99,71.99,0.40,4146.62
CL7469,55.99,27.99,0.50,4887.05
EF8858,79.99,47.99,0.40,2505.08
EF9219,75.99,45.59,0.40,7303.52
CL7513,52.99,26.49,0.50,2956.28
EE7098,89.99,53.99,0.40,2138.00
CL7425,45.99,22.99,0.50,3517.47
CL7508,49.99,24.99,0.50,2114.15
EE7292,55.99,33.59,0.40,2297.56
CL7589,42.99,21.49,0.50,1547.28
CJ8061,59.99,29.99,0.50,4966.34
EE5847,65.99,39.59,0.40,1425.24
CK9686,49.99,24.99,0.50,1934.23
EE4567,75.99,45.59,0.40,6975.27
EE5585,79.99,47.99,0.40,3196.13
B96519,69.99,34.99,0.50,1952.44
B96563,65.99,26.40,0.60,760.32
CL7547,55.99,27.99,0.50,2116.04
EE4563,75.99,45.59,0.40,6729.08
CK9714,,,,
F36475,52.99,26.49,0.50,4005.29
FV8794,55.99,55.99,0.00,4434.41
EE5177,129.99,77.99,0.40,10669.03
CL7582,45.99,22.99,0.50,496.58
F36339,49.99,49.99,0.00,3509.30
EF1963,79.99,47.99,0.40,1036.58
F34442,45.99,22.99,0.50,1075.93
EE9933,55.99,55.99,0.00,8969.60
EE6090,59.99,35.99,0.40,1036.51
B75583,47.99,23.99,0.50,3281.83
EE7922,59.99,29.99,0.50,5020.33
EE5081,49.99,24.99,0.50,2294.08
EE4678,79.99,47.99,0.40,2936.99
CM0076,12.99,7.79,0.40,546.86
B28156,79.99,47.99,0.40,4664.63
EF0527,49.99,49.99,0.00,7288.54
EE4566,75.99,45.59,0.40,4923.72
EE8302,49.99,49.99,0.00,1709.66
CM0075,9.99,5.99,0.40,614.57
EF0152,55.99,55.99,0.00,1612.51
CM0093,14.99,8.99,0.40,32.36
F36218,49.99,49.99,0.00,3509.30
CM0083,9.99,5.99,0.40,625.36
CM0078,12.99,7.79,0.40,532.84
CM0079,12.99,7.79,0.40,897.41
CM0074,9.99,5.99,0.40,237.20
CM0073,9.99,5.99,0.40,1002.73
CM0092,14.99,8.99,0.40,873.83
EG8672,55.99,55.99,0.00,2721.11
EG8480,45.99,45.99,0.00,6622.56
EG3148,45.99,45.99,0.00,745.04
CM0082,9.99,5.99,0.40,312.68
EG3185,49.99,49.99,0.00,2789.44
EG4006,55.99,55.99,0.00,100.78
EG4007,55.99,55.99,0.00,9473.51
EH1178,49.99,49.99,0.00,5848.83
EG4316,65.99,65.99,0.00,712.69
EG3253,49.99,49.99,0.00,6028.79
EG4314,65.99,65.99,0.00,4276.15
EH1379,55.99,55.99,0.00,4535.19
EH2586,55.99,55.99,0.00,403.13
EG3698,49.99,49.99,0.00,989.80
EH0165,49.99,49.99,0.00,3149.37
EH1211,55.99,55.99,0.00,8566.47
CK9665,59.99,29.99,0.50,3886.70
CK9663,59.99,29.99,0.50,3994.67
EG3953,65.99,65.99,0.00,9146.21
EG4176,49.99,49.99,0.00,1259.75
CI9916,49.99,24.99,0.50,3778.49
EG4175,49.99,49.99,0.00,8458.31
EG4004,55.99,55.99,0.00,1713.29
CJ8068,55.99,27.99,0.50,3022.92
CK9681,,,,
EE9731,55.99,27.99,0.50,4987.82
CK9591,52.99,26.49,0.50,1668.87
CK9648,45.99,22.99,0.50,1489.75
CK9602,45.99,22.99,0.50,1531.13
F34491,59.99,29.99,0.50,3184.94
CK9693,49.99,24.99,0.50,3958.42
CJ8013,49.99,24.99,0.50,3463.61
CL7567,49.99,24.99,0.50,1394.44
CK9694,49.99,24.99,0.50,2833.87
CL7604,42.99,21.49,0.50,1315.19
CL7488,39.99,19.99,0.50,2626.69
CK9436,42.99,21.49,0.50,1585.96
CK9592,52.99,26.49,0.50,95.36
CL7366,37.99,22.79,0.40,3445.85
CK9661,55.99,27.99,0.50,3526.74
CK9650,45.99,22.99,0.50,1944.95
CL7415,45.99,27.59,0.40,4668.23
CL7626,45.99,27.59,0.40,2383.78
CJ7990,55.99,27.99,0.50,1511.46
CL7534,59.99,35.99,0.40,6348.64
CL7413,45.99,27.59,0.40,198.65
CK9500,45.99,22.99,0.50,1282.84
CL7369,37.99,22.79,0.40,3240.74
EE8156,59.99,35.99,0.40,6219.07
CL7607,42.99,21.49,0.50,812.32
CL7385,55.99,33.59,0.40,967.39
EE9856,69.99,41.99,0.40,6122.14
EE8260,55.99,33.59,0.40,2176.63
EE8448,55.99,33.59,0.40,5743.89
EE8181,69.99,41.99,0.40,2116.30
CK9682,49.99,24.99,0.50,989.60
CL7377,49.99,29.99,0.40,4426.52
CL7605,42.99,21.49,0.50,270.77
EE9734,55.99,33.59,0.40,1934.78
EF1053,69.99,41.99,0.40,5290.74
EE7925,65.99,39.59,0.40,1567.76
CL7614,39.99,23.99,0.40,1986.37
EE9847,69.99,41.99,0.40,1587.22
EG3289,39.99,39.99,0.00,2447.39
CL7615,39.99,23.99,0.40,3713.65
CL7276,49.99,24.99,0.50,44.98
CL7453,52.99,31.79,0.40,1144.44
CL7329,47.99,28.79,0.40,51.82
CL7387,55.99,33.59,0.40,1511.55
CM4762,45.99,45.99,0.00,3062.93
CM4984,24.99,24.99,0.00,4273.29
CM4691,37.99,37.99,0.00,3624.25
CM4826,29.99,29.99,0.00,2645.12
CM0015,49.99,24.99,0.50,3553.58
EE8603,79.99,47.99,0.40,7774.38
CL7496,45.99,27.59,0.40,4171.61
EE8444,55.99,33.59,0.40,1148.78
CM4827,,,,
CM0014,49.99,24.99,0.50,0.00
CM4737,35.99,35.99,0.00,259.13
EF0440,55.99,33.59,0.40,3809.11
EE9748,59.99,35.99,0.40,2785.63
EG4223,49.99,49.99,0.00,1889.62
CM0013,49.99,24.99,0.50,1574.37
B44880,69.99,41.99,0.40,1738.39
F34876,69.99,41.99,0.40,3023.28
EE8836,79.99,79.99,0.00,2015.75
EF0523,55.99,33.59,0.40,5743.89
EH1858,49.99,49.99,0.00,1799.64
EG3821,55.99,55.99,0.00,2116.42
EF4458,75.99,75.99,0.00,12036.82
EG3291,39.99,39.99,0.00,5902.52
EF5928,75.99,75.99,0.00,13541.42
EH1859,49.99,49.99,0.00,4769.05
CM4828,29.99,29.99,0.00,809.73
EG3295,39.99,39.99,0.00,2519.37
CM4985,24.99,24.99,0.00,2563.97
CM4964,32.99,32.99,0.00,475.06
CM4690,37.99,37.99,0.00,1777.93
EF4970,79.99,79.99,0.00,3455.57
CM0010,59.99,29.99,0.50,4048.65
EF6877,79.99,79.99,0.00,2447.69
FW6635,109.99,109.99,0.00,6731.39
CM4760,45.99,45.99,0.00,5132.48
DB3258,75.99,75.99,0.00,5197.72
EF4375,119.99,119.99,0.00,3671.69
EE7159,75.99,75.99,0.00,4513.81
CM4983,24.99,24.99,0.00,3598.56
EE8925,79.99,79.99,0.00,6479.19
G27722,79.99,79.99,0.00,10366.70
EG2012,89.99,89.99,0.00,2105.77
EG9825,65.99,65.99,0.00,5701.54
EF4966,79.99,79.99,0.00,10222.72
EH1389,79.99,79.99,0.00,6623.17
EG9824,65.99,65.99,0.00,10215.25
EF6058,65.99,65.99,0.00,10571.60
EF6508,79.99,79.99,0.00,4895.39
EG5475,79.99,79.99,0.00,13390.33
EF5320,89.99,89.99,0.00,14254.42
EF5642,79.99,79.99,0.00,1007.87
EE7160,75.99,75.99,0.00,12310.38
EF5547,85.99,85.99,0.00,13620.82
EG7753,75.99,75.99,0.00,2188.51
EF5549,85.99,85.99,0.00,12227.78
EF5314,89.99,89.99,0.00,1619.82
EF4933,75.99,75.99,0.00,3282.77
EG9829,89.99,89.99,0.00,1943.78
EG7876,75.99,75.99,0.00,12857.51
EF4935,75.99,75.99,0.00,11489.69
EF4983,79.99,79.99,0.00,1871.77
EG9053,,,,
EF4374,119.99,119.99,0.00,20086.33
EH3522,79.99,79.99,0.00,6191.23
EG0576,79.99,79.99,0.00,9646.79
EF6507,79.99,79.99,0.00,431.95
EF5386,89.99,89.99,0.00,11824.69
CL7520,52.99,31.79,0.40,5207.20
EG0578,79.99,79.99,0.00,7631.05
EG6920,79.99,79.99,0.00,4175.48
EG6846,79.99,79.99,0.00,4031.50
EE9854,69.99,41.99,0.40,4534.92
CL7456,52.99,31.79,0.40,2059.99
EE9733,55.99,33.59,0.40,2478.94
CL7333,35.99,21.59,0.40,2720.34
EE9729,55.99,33.59,0.40,5320.66
EG6845,79.99,79.99,0.00,11086.61
EE8202,69.99,41.99,0.40,7180.29
CL7361,32.99,19.79,0.40,641.20
EE8265,55.99,33.59,0.40,1511.55
EE8604,79.99,47.99,0.40,6651.41
EF1052,69.99,41.99,0.40,5139.58
EF1051,69.99,41.99,0.40,4005.85
EE9732,55.99,33.59,0.40,3809.11
EF0433,55.99,33.59,0.40,2055.71
EE9895,89.99,53.99,0.40,8454.83
EE8128,59.99,35.99,0.40,2720.84
EE7928,65.99,39.59,0.40,5558.44
EE9266,89.99,53.99,0.40,777.46
CL9915,24.99,14.99,0.40,620.59
CL7533,59.99,35.99,0.40,5506.47
CM0012,49.99,24.99,0.50,4453.22
CM0032,45.99,22.99,0.50,2979.50
EE8200,69.99,41.99,0.40,5215.16
CL7332,35.99,21.59,0.40,3303.27
F37008,79.99,39.99,0.50,2159.46
EE9728,55.99,33.59,0.40,0.00
B75581,49.99,24.99,0.50,3958.42
F34851,55.99,27.99,0.50,3728.27
EF0434,55.99,33.59,0.40,1451.09
CM0008,59.99,29.99,0.50,5128.29
CL7487,39.99,19.99,0.50,1403.30
EE8212,69.99,41.99,0.40,2116.30
CL7465,55.99,27.99,0.50,554.20
EE9758,59.99,35.99,0.40,2202.59
CL7334,35.99,21.59,0.40,3536.44
EE9735,55.99,33.59,0.40,2539.40
CL9925,29.99,14.99,0.50,2185.54
F34820,79.99,39.99,0.50,4246.94
CM0023,39.99,19.99,0.50,971.51
EF0584,79.99,47.99,0.40,518.29
CL7307,39.99,19.99,0.50,1691.15
BB7066,59.99,29.99,0.50,2051.32
CM0033,45.99,22.99,0.50,3434.71
CL7443,,,,
CL9962,27.99,16.79,0.40,2961.76
CK9685,49.99,24.99,0.50,2518.99
CJ7959,55.99,27.99,0.50,3123.68
CL7546,55.99,27.99,0.50,755.73
CL7286,42.99,21.49,0.50,2785.10
CJ8018,45.99,22.99,0.50,289.67
CK9447,45.99,22.99,0.50,1448.37
B96555,79.99,39.99,0.50,1511.62
G28939,149.99,74.99,0.50,6479.14
FV3428,79.99,79.99,0.00,5759.28
FV3289,79.99,79.99,0.00,3455.57
CK9528,37.99,18.99,0.50,2221.83
CK9603,45.99,22.99,0.50,1820.81
CL7566,49.99,24.99,0.50,3373.65
FV3671,139.99,139.99,0.00,21922.43
FV3335,89.99,89.99,0.00,1781.80
FV3675,129.99,129.99,0.00,467.96
EG8690,55.99,39.19,0.30,4514.69
F36642,55.99,39.19,0.30,3950.35
CG4045,49.99,24.99,0.50,2563.97
CL7633,26.99,18.89,0.30,102.01
FV3334,89.99,89.99,0.00,11986.67
FV3361,109.99,109.99,0.00,17026.45
EG5345,75.99,75.99,0.00,7933.36
FV3353,109.99,109.99,0.00,10691.03
FV3187,75.99,75.99,0.00,3829.90
FV3631,79.99,79.99,0.00,2015.75
FU7134,99.99,99.99,0.00,12418.76
FV3374,79.99,79.99,0.00,11230.60
FV3336,89.99,89.99,0.00,5993.33
FU9352,129.99,129.99,0.00,18718.56
FV3327,79.99,79.99,0.00,4031.50
FU9350,129.99,129.99,0.00,233.98
FW1646,75.99,75.99,0.00,10258.65
FV3186,75.99,75.99,0.00,10395.43
FV3294,79.99,79.99,0.00,5615.30
FW9618,79.99,79.99,0.00,11518.56
FV3352,109.99,109.99,0.00,16234.52
FW1647,75.99,75.99,0.00,7249.45
FW8423,109.99,109.99,0.00,13660.76
EE6822,65.99,39.59,0.40,4133.20
FV3290,79.99,79.99,0.00,13102.36
FV3305,89.99,89.99,0.00,12148.65
EE8081,55.99,33.59,0.40,5864.81
B37680,99.99,49.99,0.50,1259.75
CG6270,139.99,69.99,0.50,3905.44
CQ2031,159.99,79.99,0.50,1583.80
CG6037,119.99,59.99,0.50,1835.69
EF3539,65.99,39.59,0.40,2066.60
EE4919,119.99,71.99,0.40,4924.12
FU9349,129.99,129.99,0.00,11231.14
CL9960,24.99,12.49,0.50,562.05
EF0091,,,,
CL9968,27.99,16.79,0.40,0.00
F33805,119.99,59.99,0.50,539.91
EE6031,75.99,45.59,0.40,492.37
BC0033,65.99,32.99,0.50,1781.46
EE7030,119.99,71.99,0.40,3628.30
EE4923,129.99,77.99,0.40,5615.28
EE6089,59.99,35.99,0.40,1619.55
EE6108,59.99,35.99,0.40,4210.83
CQ2460,89.99,44.99,0.50,7369.36
B37681,75.99,45.59,0.40,7139.39
CQ2035,99.99,49.99,0.50,3509.30
